cell_key,image_array
0,[0.01176471 0.         0.         ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.7607843  0.7372549  0.68235296]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.7647059  0.63529414 0.60784316]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.75686276 0.627451   0.60784316 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.01568628 0.         0.03529412 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.         0.00392157 0.        ]
0,[0.         0.         0.         ... 0.04705882 0.         0.00784314]
0,[0.8862745 0.8627451 0.8627451 ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.         0.00392157 0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.80784315 0.827451   0.8039216 ]
0,[0.         0.         0.         ... 0.03921569 0.         0.        ]
0,[0.         0.         0.         ... 0.76862746 0.72156864 0.7372549 ]
0,[0.00392157 0.00392157 0.00392157 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.         0.01176471 0.        ]
0,[0.         0.01960784 0.01960784 ... 0.8235294  0.7058824  0.7529412 ]
0,[0.76862746 0.77254903 0.84313726 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.02352941 0.         0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.         0.         0.00784314]
0,[0.77254903 0.77254903 0.78039217 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.77254903 0.69803923 0.7058824  ... 0.         0.         0.        ]
0,[0.01568628 0.         0.         ... 0.         0.         0.        ]
0,[0.8117647  0.8117647  0.77254903 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.01176471 0.         0.         ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.81960785 0.7294118  0.89411765]
0,[0.         0.         0.         ... 0.02745098 0.         0.03137255]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.00392157 0.         ... 0.         0.         0.        ]
0,[0.02352941 0.         0.01568628 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.7137255  0.72156864 0.70980394]
0,[0.         0.         0.         ... 0.01960784 0.01960784 0.02745098]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.7058824  0.6862745  0.77254903]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.        0.        0.        ... 0.6862745 0.6509804 0.7647059]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.00392157 0.         ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.7529412  0.68235296 0.6745098 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.81960785 0.827451   0.80784315 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.         0.         0.01960784]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.78039217 0.6666667  0.7372549 ]
0,[0.84313726 0.8627451  0.8352941  ... 0.         0.         0.        ]
0,[0.7411765 0.7529412 0.7176471 ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.01568628 ... 0.         0.         0.        ]
0,[0.00392157 0.         0.00784314 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.84313726 0.8509804  0.8392157  ... 0.         0.         0.        ]
0,[0.7372549 0.7607843 0.7137255 ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.02745098 0.02745098 0.03529412]
0,[0.77254903 0.7647059  0.7176471  ... 0.         0.         0.        ]
0,[0.01176471 0.02352941 0.05098039 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.6901961  0.62352943 0.6862745  ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.73333335 0.68235296 0.65882355]
0,[0.827451   0.85490197 0.8235294  ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.         0.01176471 0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7882353  0.7921569  0.76862746 ... 0.         0.         0.        ]
0,[0.         0.00392157 0.         ... 0.6745098  0.5411765  0.6039216 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7764706 0.7019608 0.827451  ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.01176471 0.01960784 0.01568628]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.00392157 0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.73333335 0.627451   0.58431375 ... 0.7019608  0.6862745  0.6509804 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.01176471 0.         0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.8117647  0.8156863  0.79607844]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
